Gene	Log2 Fold Change	p-value
dhrs13a.2	1.6924170802217844	1.1808860230918808e-27
ENSDARG00000117554	1.7741196998358155	1.261286980207059e-27
abat	0.9767374295186976	1.3075261341815543e-27
pkma	1.3568448827691004	1.589083722907224e-27
lrit3a	1.8322980401467035	1.7166678518743806e-27
hdac5	1.384531668572484	1.759381467452174e-27
gabrr2a	1.9802580057339407	1.8993720755510465e-27
zgc:165539	-2.3087232619186953	2.185495761675569e-27
ENSDARG00000105621	-1.6289330048627124	2.3694793318620288e-27
zgc:122979	1.8203881411342375	2.420505908450772e-27
cald1b	1.4070884001022594	2.7208338894555044e-27
mt2	2.429066238612877	3.187982099595956e-27
wnt8-2	-3.3772101182224827	3.2573703170046626e-27
atp2a1l	1.0150692290683778	3.757987160906122e-27
mbpb	1.6720886465988591	3.926802044996874e-27
ENSDARG00000034321	2.104134097999931	4.022914172640451e-27
socs3a	2.3939510983565464	4.053166928743188e-27
si:ch211-232m10.6	1.6942420339966062	4.223452828430493e-27
gadd45bb	1.5272741699305978	4.8843133347371026e-27
ENSDARG00000097196	1.388109422240275	5.7924202203605566e-27
si:ch211-136m16.8	1.8513660995172398	5.836296764164338e-27
ENSDARG00000095421	1.768948350674267	6.360335346342235e-27
ucp1	1.3555357097663323	6.467103599220316e-27
syt7b	1.5728664104053274	7.126360541177561e-27
mycb	1.8551249907225595	8.377897227580381e-27
ttll9	1.69671357996584	9.640792807696162e-27
ttc36	1.4576378397010237	9.854946500122913e-27
syt5b	1.6116540297124702	1.212598956046115e-26
ENSDARG00000094186	1.31425586371851	1.241568274745785e-26
sprn2	2.348710582984969	1.2946346937791806e-26
desmb	1.1644352041370307	1.3002947022114247e-26
tnnt2b	2.145323076728896	1.3113986046438627e-26
lgals2b	0.8451158734996086	1.3364030930307826e-26
epsti1	1.8233064043183342	1.4085529667788337e-26
pcare2	1.4407757359152795	1.4312666648341026e-26
npy	1.524235706718619	1.7604658201955087e-26
avd	-2.9995981315096536	1.918495807161328e-26
cyp2p7	1.2941861176504637	1.9791174311294601e-26
cacna1fb	1.6483014476725542	2.8924612466578284e-26
steap4	1.8245534081131338	3.194315437929348e-26
ric3a	1.4297560393785962	3.56258408554423e-26
arrdc2	1.550447712558171	3.565129213135293e-26
SYT2	1.9325648744814627	3.8747542617060047e-26
cbx7a	1.8064347333287323	4.1134826776529466e-26
kcnip3a	1.3531112062222288	4.2643941995099923e-26
gucy1a1	1.5628393388809432	4.30859073185214e-26
si:ch211-186e20.7	1.5170533370667463	4.883472859267851e-26
coq8aa	1.6203869271614293	5.232014678255668e-26
cyp2n13	2.2102210030980607	5.270013036139863e-26
ankrd9	1.115822496749873	5.36519384357849e-26
gramd4a	1.982666370905067	5.623241501563041e-26
gyg1b	1.5292836315357383	5.64726692742855e-26
slc25a33	1.769246414941457	6.445462744097526e-26
cox4i2	1.3272458779464253	6.599173177094455e-26
anpeplb	1.269097082448203	6.793022967693117e-26
foxo3b	1.8304675256438128	7.268368753401078e-26
dre-mir-735	-inf	7.65531533312112e-26
gria4a	1.6911745204090332	8.60142348419016e-26
rhcga	2.4995930512526434	1.0239245933696416e-25
prph2b	1.1717704342553956	1.0975703246483047e-25
krt1-19d	0.8989889131914491	1.1560508897363335e-25
si:dkey-88j15.3	1.590054979465704	1.2189645159425454e-25
zgc:175280	1.4294973373080533	1.2899489790833743e-25
stmn4	1.5674813474507479	1.3350649208484176e-25
osbp2a	1.358164756644847	1.7401822964868674e-25
tm4sf4	0.8481641352839068	1.7852398325942876e-25
sult6b1	1.2506584805449197	1.84525271630935e-25
sst7	1.5936329862785086	1.961877148880225e-25
ENSDARG00000097550	-inf	2.1990343795497334e-25
ENSDARG00000092388	2.544757691848354	2.2335248082327444e-25
pik3cg	2.0992927034457622	2.366613907911537e-25
dhrs1	1.468080420684737	2.4196229283829125e-25
LOC103908668	1.5814024205456672	2.4968819038616753e-25
dclk1a	1.604843576091869	2.498579795007428e-25
grm8a	2.4293670575320263	2.8851223422961707e-25
LOC100537860	1.5742827619633442	2.9968366692106328e-25
LOC110439413	1.2829684904761811	3.06360095258936e-25
mkrn1	2.2765381692713005	3.4910022622463607e-25
scamp5a	1.6815880011915623	3.5420046844028766e-25
sv2ba	-1.4364220227575986	3.6582849794418333e-25
atf3	1.5311834391314738	3.7628900317042715e-25
gngt1	1.1312046795656778	4.104784766046727e-25
ralgps1	2.3476067319572866	4.573678403028903e-25
crhbp	1.3152178628503801	5.300831861443786e-25
mych	1.7606527031079302	5.319973941567472e-25
slc13a2	1.6955738138036012	5.3464921910632485e-25
s100a10a	1.7442099429365217	5.507456486243292e-25
ogfr1	-1.6471150568983908	6.308769114837183e-25
LOC100534741	1.8233613763695182	7.345154716769112e-25
rhbg	0.7159391571542566	7.362039597853093e-25
fosab	2.1836844984961887	7.454675912933885e-25
lnx1	2.6536525624325433	7.92951655668001e-25
si:ch73-359m17.11	-1.9222346905177408	7.978965607109182e-25
cdk5r2b	1.927122743859882	7.990781559664035e-25
ENSDARG00000117805	-inf	8.264383165287244e-25
stxbp1b	1.5320795782968566	8.778620322811496e-25
